1,0.678247,3.766353,0.122701,1.090610
0,0.710821,3.551449,0.126420,0.726002
1,0.759077,2.439751,0.217575,0.493674
0,0.647363,5.101723,0.048429,1.480842
1,0.698151,2.835913,0.170267,0.787583
0,0.506398,5.667123,0.031693,5.429875
1,0.744956,3.117257,0.129961,0.510088
0,0.725153,2.751504,0.187847,0.630446
1,0.759329,2.609768,0.199905,0.481341
0,0.485026,6.029420,0.023544,7.050438
1,0.533609,5.768425,0.030210,5.343924
1,0.693052,3.562953,0.115255,0.890530
1,0.741375,2.479739,0.247176,0.517251
0,0.610606,5.883542,0.027601,1.731303
0,0.479575,6.782374,0.011713,23.352333
0,0.560668,6.439884,0.013709,15.127658
